日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウェイト,ニューインデックス区分,調整係数対象銘柄
20211130,タカラトミー,7867,その他製品,0.02%,TOPIX Small 1,
20211130,広済堂ＨＤ,7868,その他製品,0.00%,TOPIX Small 2,
20211130,エステールＨＤ,7872,その他製品,0.00%,TOPIX Small 2,○
20211130,レック,7874,化学,0.00%,TOPIX Small 1,
20211130,タカノ,7885,その他製品,0.00%,TOPIX Small 2,
20211130,三光合成,7888,化学,0.00%,TOPIX Small 2,
20211130,プロネクサス,7893,その他製品,0.00%,TOPIX Small 2,
20211130,ホクシン,7897,その他製品,0.00%,TOPIX Small 2,
20211130,ウッドワン,7898,その他製品,0.00%,TOPIX Small 2,
20211130,大建工,7905,その他製品,0.00%,TOPIX Small 2,
20211130,ＫＩＭＯＴＯ,7908,化学,0.00%,TOPIX Small 2,
20211130,凸版印,7911,その他製品,0.10%,TOPIX Mid400,
20211130,大日印,7912,その他製品,0.12%,TOPIX Mid400,
20211130,共同印,7914,その他製品,0.00%,TOPIX Small 2,
20211130,ＮＩＳＳＨＡ,7915,その他製品,0.01%,TOPIX Small 1,
20211130,光村印,7916,その他製品,0.00%,TOPIX Small 2,
20211130,藤森工業,7917,化学,0.01%,TOPIX Small 2,
20211130,ヴィアＨＤ,7918,小売業,0.00%,TOPIX Small 2,
20211130,ＴＡＫＡＲＡ＆ＣＯ,7921,その他製品,0.00%,TOPIX Small 2,
20211130,前沢化成,7925,化学,0.00%,TOPIX Small 2,
20211130,未来工業,7931,化学,0.00%,TOPIX Small 2,○
20211130,アシックス,7936,その他製品,0.09%,TOPIX Mid400,
20211130,ツツミ,7937,その他製品,0.00%,TOPIX Small 2,
20211130,ウェーブロックＨＤ,7940,化学,0.00%,TOPIX Small 2,
20211130,ＪＳＰ,7942,化学,0.00%,TOPIX Small 2,
20211130,ニチハ,7943,ガラス・土石製品,0.01%,TOPIX Small 1,
20211130,ローランド,7944,その他製品,0.01%,TOPIX Small 1,
20211130,エフピコ,7947,化学,0.03%,TOPIX Mid400,
20211130,小松ウオール,7949,その他製品,0.00%,TOPIX Small 2,
20211130,ヤマハ,7951,その他製品,0.13%,TOPIX Mid400,
20211130,河合楽器,7952,その他製品,0.00%,TOPIX Small 2,
20211130,クリナップ,7955,その他製品,0.00%,TOPIX Small 2,
20211130,ピジョン,7956,その他製品,0.05%,TOPIX Mid400,
20211130,天馬,7958,化学,0.01%,TOPIX Small 2,
20211130,兼松サステック,7961,その他製品,0.00%,TOPIX Small 2,
20211130,キングジム,7962,その他製品,0.00%,TOPIX Small 2,○
20211130,象印マホービン,7965,電気機器,0.02%,TOPIX Small 1,
20211130,リンテック,7966,その他製品,0.02%,TOPIX Mid400,
20211130,信越ポリマ,7970,化学,0.01%,TOPIX Small 1,
20211130,東リ,7971,化学,0.00%,TOPIX Small 2,
20211130,イトーキ,7972,その他製品,0.00%,TOPIX Small 2,
20211130,任天堂,7974,その他製品,1.07%,TOPIX Core30,
20211130,三菱鉛筆,7976,その他製品,0.01%,TOPIX Small 2,○
20211130,松風,7979,精密機器,0.00%,TOPIX Small 2,○
20211130,タカラスタン,7981,その他製品,0.01%,TOPIX Small 2,
20211130,コクヨ,7984,その他製品,0.03%,TOPIX Mid400,
20211130,ナカバヤシ,7987,その他製品,0.00%,TOPIX Small 2,
20211130,ニフコ,7988,化学,0.04%,TOPIX Mid400,
20211130,立川ブライ,7989,金属製品,0.00%,TOPIX Small 2,○
20211130,グローブライド,7990,その他製品,0.01%,TOPIX Small 1,
20211130,オカムラ,7994,その他製品,0.02%,TOPIX Small 1,
20211130,バルカー,7995,化学,0.01%,TOPIX Small 1,
20211130,ＭＵＴＯＨ－ＨＤ,7999,電気機器,0.00%,TOPIX Small 2,
20211130,伊藤忠,8001,卸売業,0.85%,TOPIX Core30,
20211130,丸紅,8002,卸売業,0.37%,TOPIX Large70,
20211130,スクロール,8005,小売業,0.00%,TOPIX Small 1,
20211130,高島,8007,卸売業,0.00%,TOPIX Small 2,
20211130,４℃　ＨＤ,8008,小売業,0.01%,TOPIX Small 1,
20211130,三陽商,8011,繊維製品,0.00%,TOPIX Small 2,
20211130,長瀬産,8012,卸売業,0.03%,TOPIX Mid400,
20211130,ナイガイ,8013,繊維製品,0.00%,TOPIX Small 2,
20211130,蝶理,8014,卸売業,0.00%,TOPIX Small 2,
20211130,豊田通商,8015,卸売業,0.19%,TOPIX Mid400,
20211130,オンワードＨＤ,8016,繊維製品,0.01%,TOPIX Small 1,
20211130,三共生興,8018,卸売業,0.00%,TOPIX Small 2,
20211130,兼松,8020,卸売業,0.02%,TOPIX Small 1,
20211130,ミズノ,8022,その他製品,0.01%,TOPIX Small 1,
20211130,ツカモト,8025,卸売業,0.00%,TOPIX Small 2,
20211130,ルックＨＤ,8029,繊維製品,0.00%,TOPIX Small 2,
20211130,三井物産,8031,卸売業,0.74%,TOPIX Core30,
20211130,紙パル商,8032,卸売業,0.01%,TOPIX Small 2,
20211130,東エレク,8035,電気機器,1.44%,TOPIX Core30,
20211130,カメイ,8037,卸売業,0.00%,TOPIX Small 2,
20211130,東都水,8038,卸売業,0.00%,TOPIX Small 2,
20211130,ＯＵＧ　ＨＤ,8041,卸売業,0.00%,TOPIX Small 2,○
20211130,スターゼン,8043,卸売業,0.01%,TOPIX Small 2,
20211130,セイコーＨＤ,8050,精密機器,0.01%,TOPIX Small 1,
20211130,山善,8051,卸売業,0.02%,TOPIX Small 1,
20211130,椿本興,8052,卸売業,0.00%,TOPIX Small 2,
